search_term_used,found_terms,url,title,law_number,date,status,summary,authors,proponent,committees,period,legislature,content_snippet,year,scraped_at
mismo sexo,"['mismo sexo', 'parejas del mismo sexo', 'del mismo sexo']","https://www2.congreso.gob.pe/Sicr/TraDocEstProc/CLProLey2001.nsf/e7414acd4ff8d62b05256cdf006c92bb/331755c5f09580dd05256df9007508f0?OpenDocument&Highlight=0,mismo,sexo",UNIONES CIVILES:ENTRE PAREJAS DEL MISMO SEXO/ESTABLECE...,09317,10/12/2003,En comisión,Propuesta de Ley que establece las uniones civiles entre parejas del mismo sexo.,Moyano Delgado  Martha Lupe,Congreso,Justicia y Derechos Humanos,Periodo de Gobierno 2001- 2006,Primera Legislatura Ordinaria 2003,"2/2003
proponente:congreso
grupo parlamentario:no agrupado
título:uniones civiles:entre parejas del mismo sexo/establece... 
sumilla:  propuesta de ley que establece las uniones civiles entre parejas",2001-2006,2025-09-17T20:04:50.138238
parejas del mismo sexo,"['mismo sexo', 'parejas del mismo sexo', 'del mismo sexo']","https://www2.congreso.gob.pe/Sicr/TraDocEstProc/CLProLey2001.nsf/e7414acd4ff8d62b05256cdf006c92bb/331755c5f09580dd05256df9007508f0?OpenDocument&Highlight=0,parejas,del,mismo,sexo",UNIONES CIVILES:ENTRE PAREJAS DEL MISMO SEXO/ESTABLECE...,09317,10/12/2003,En comisión,Propuesta de Ley que establece las uniones civiles entre parejas del mismo sexo.,Moyano Delgado  Martha Lupe,Congreso,Justicia y Derechos Humanos,Periodo de Gobierno 2001- 2006,Primera Legislatura Ordinaria 2003,"2/2003
proponente:congreso
grupo parlamentario:no agrupado
título:uniones civiles:entre parejas del mismo sexo/establece... 
sumilla:  propuesta de ley que establece las uniones civiles entre parejas",2001-2006,2025-09-17T20:05:17.855878
del mismo sexo,"['mismo sexo', 'parejas del mismo sexo', 'del mismo sexo']","https://www2.congreso.gob.pe/Sicr/TraDocEstProc/CLProLey2001.nsf/e7414acd4ff8d62b05256cdf006c92bb/331755c5f09580dd05256df9007508f0?OpenDocument&Highlight=0,del,mismo,sexo",UNIONES CIVILES:ENTRE PAREJAS DEL MISMO SEXO/ESTABLECE...,09317,10/12/2003,En comisión,Propuesta de Ley que establece las uniones civiles entre parejas del mismo sexo.,Moyano Delgado  Martha Lupe,Congreso,Justicia y Derechos Humanos,Periodo de Gobierno 2001- 2006,Primera Legislatura Ordinaria 2003,"2/2003
proponente:congreso
grupo parlamentario:no agrupado
título:uniones civiles:entre parejas del mismo sexo/establece... 
sumilla:  propuesta de ley que establece las uniones civiles entre parejas",2001-2006,2025-09-17T20:06:35.015822
nombre social,[],"https://www2.congreso.gob.pe/Sicr/TraDocEstProc/CLProLey2001.nsf/e7414acd4ff8d62b05256cdf006c92bb/78c32138bd33fa27052570120079becf?OpenDocument&Highlight=0,nombre,social",DEPORTES:ADMINISTRACIÓN ESTADIOS DEPORTIVOS A MUNICIPALIDADES,13105/2004-CR,30/05/2005,Rechazado de Plano,"Propone la transferencia de instalaciones y administración de los estadios deportivos inscritos en los Registros Públicos a nombre del Instituto Peruano del Deporte, en favor de las municipalidades provinciales.",Gonzales Reinoso  Luis,Congreso,Juventud y Deporte; Gobiernos Locales,Periodo de Gobierno 2001- 2006,Segunda Legislatura Ordinaria 2004,"


seguimiento
>

>







ficha de seguimiento, ""proyecto de ley 13105/2004-cr ""
.
 ver expediente digital  


período:periodo de gobierno 2001- 2006.legislatura:segunda legislatura ordinaria 2004
nú",2001-2006,2025-09-17T20:06:39.230419
nombre social,[],"https://www2.congreso.gob.pe/Sicr/TraDocEstProc/CLProLey2001.nsf/e7414acd4ff8d62b05256cdf006c92bb/605e0f1f480fa5f605256d24007aaae8?OpenDocument&Highlight=0,nombre,social","CÓD.PENAL:209,210,211,212/SANCIÓN A DEUDOR QUE CAUSA PERJUICIO A ACREEDOR",05727,26/02/2003,En comisión,"Propone derogar la Décimoprimera Disposición Final del Decreto Supremo Nº 093-2002-EF, que modificó el texto de los artículos 209º, 210º, 211º y 212º del Código Penal, asimismo, restablece la vigencia de los artículos 209º, 210º, 211º y 212º del mismo Código, referente a penas del deudor, la persona...",Estrada Pérez  Daniel,Congreso,Justicia,Periodo de Gobierno 2001- 2006,Primera Legislatura Ordinaria 2002,"


seguimiento
>

>







ficha de seguimiento, ""proyecto de ley 05727 ""
.
ver documentos de ley relacionados


período:periodo de gobierno 2001- 2006.legislatura:primera legislatura ordinaria 2002
n",2001-2006,2025-09-17T20:06:40.961686
nombre social,[],"https://www2.congreso.gob.pe/Sicr/TraDocEstProc/CLProLey2001.nsf/e7414acd4ff8d62b05256cdf006c92bb/dfff355eac03f88605256d24007a9b72?OpenDocument&Highlight=0,nombre,social","RENIEC:DEROG.37/D.S 015-98-PCM,NIEGA DERECHO A IDENTIDAD",03421,31/07/2002,Publicado El Peruano,"Propone derogar y dejar sin efecto el artículo 37° del Decreto Supremo N° 015-98-CPM, Reglamento de Inscripciones del Registro Nacional de Identificación y Estado Civil, ya que deviene en inconstitucional, por cuanto niega al recién nacido el derecho a su identidad, expresada en el nombre y el apell...",Valdez Melendez  Víctor,Congreso,Mujer y Desarrollo Social,Periodo de Gobierno 2001- 2006,Primera Legislatura Ordinaria 2002,"


seguimiento
>

>







ficha de seguimiento, ""proyecto de ley 03421 ""
.
ver documentos de ley relacionados


período:periodo de gobierno 2001- 2006.legislatura:primera legislatura ordinaria 2002
n",2001-2006,2025-09-17T20:06:42.587888
nombre social,[],"https://www2.congreso.gob.pe/Sicr/TraDocEstProc/CLProLey2001.nsf/e7414acd4ff8d62b05256cdf006c92bb/591a066be73493a105256d24007a9a3a?OpenDocument&Highlight=0,nombre,social",ELECTRICIDAD:ACCIONES DE EMPRESAS ELÉCT.A GOB.REGIONALES,03245,21/06/2002,En comisión,"Propone transferir a favor de los Gobiernos Regionales, en la proporción que corresponda, la totalidad de acciones del Estado que actualmente están a nombre del FONAFE en todas las empresas regionales eléctricas.",Diez Canseco Cisneros  Javier,Congreso,Economía; Energía y Minas,Periodo de Gobierno 2001- 2006,Segunda Legislatura Ordinaria 2001,"


seguimiento
>

>







ficha de seguimiento, ""proyecto de ley 03245 ""
.
 ver expediente digital  


período:periodo de gobierno 2001- 2006.legislatura:segunda legislatura ordinaria 2001
número:032",2001-2006,2025-09-17T20:06:44.320780
nombre social,[],"https://www2.congreso.gob.pe/Sicr/TraDocEstProc/CLProLey2001.nsf/e7414acd4ff8d62b05256cdf006c92bb/1ad07c98bd5759ca05256d24007a988e?OpenDocument&Highlight=0,nombre,social",UNIVERSIDAD:PARTICULAR DE CIENCIAS Y TECNOLOGÍA DE ICA,03010,28/05/2002,Publicado El Peruano,"Propone derogar la Ley N° 26274, Ley que crea la Universidad Particular de Ciencias y Tecnología -UPACITEC- de Ica.",Ramos Loayza  Pedro,Congreso,Educación Ciencia y Tecnología,Periodo de Gobierno 2001- 2006,Segunda Legislatura Ordinaria 2001,"


seguimiento
>

>







ficha de seguimiento, ""proyecto de ley 03010 ""
.
ver documentos de ley relacionados


período:periodo de gobierno 2001- 2006.legislatura:segunda legislatura ordinaria 2001
n",2001-2006,2025-09-17T20:06:46.058115
nombre social,[],"https://www2.congreso.gob.pe/Sicr/TraDocEstProc/CLProLey2001.nsf/e7414acd4ff8d62b05256cdf006c92bb/03f841c05c2f8fe705256d24007a941e?OpenDocument&Highlight=0,nombre,social","CÓD.CIVIL:19,20,21/GARANTIZA EL DERECHO AL NOMBRE",02412,02/04/2002,Publicado El Peruano,"Propone modificar los artículos 19°, 20° y 21° del Código Civil, los cuales garantizan el derecho al nombre.",Moyano Delgado  Martha Lupe,Congreso,Justicia; Mujer y Desarrollo Social; Justicia y Derechos Humanos,Periodo de Gobierno 2001- 2006,Segunda Legislatura Ordinaria 2001,"


seguimiento
>

>







ficha de seguimiento, ""proyecto de ley 02412 ""
.
 ver expediente digital  


período:periodo de gobierno 2001- 2006.legislatura:segunda legislatura ordinaria 2001
número:024",2001-2006,2025-09-17T20:06:47.791676
nombre social,[],"https://www2.congreso.gob.pe/Sicr/TraDocEstProc/CLProLey2001.nsf/e7414acd4ff8d62b05256cdf006c92bb/e35a87a73c830ea305256d24007a941c?OpenDocument&Highlight=0,nombre,social",ESSALUD:CAMBIO DENOMINACIÓN NO GENERA GASTO AL ESTADO,02411,01/04/2002,Archivo,Propone establecer que cualquier cambio que se efectúe en la denominación o nombre al Seguro Social de Salud (ESSALUD) no deberá generar o irrogar gasto alguno al erario nacional.,Barrón Cebreros  Xavier,Congreso,Seguridad Social,Periodo de Gobierno 2001- 2006,Segunda Legislatura Ordinaria 2001,"


seguimiento
>

>







ficha de seguimiento, ""proyecto de ley 02411 ""
.
 ver expediente digital  


período:periodo de gobierno 2001- 2006.legislatura:segunda legislatura ordinaria 2001
número:024",2001-2006,2025-09-17T20:06:49.414944
