search_term_used,found_terms,url,title,law_number,date,status,summary,authors,proponent,committees,period,legislature,content_snippet,year,scraped_at
unión civil,[],"https://www2.congreso.gob.pe/Sicr/TraDocEstProc/CLProLey2000.nsf/e7414acd4ff8d62b05256cdf006c92bb/1dae4d4102fcc17f05256ce1006d59c2?OpenDocument&Highlight=0,uni%C3%B3n,civil",CODIGO PROC.CIVIL:RESOLUCIONES/DEMANDAS/NOTIFICACIONES,01271,22/01/2001,Dictamen,"Propone modificar los artículos 122º, 157º, 554º y 555º del Código ProcesalCivilen relación a las resoluciones,  notificación, contestación de la demanda y actuación de audiencia, entre otros temas.",Estrada Pérez  Daniel Federico,Congreso,Reforma de Códigos24/01/2001 A comisión Justicia26/01/2001 En comisión Reforma de Códigos26/01/2001 En comisión Justicia10/05/2001 Dictamen Favorable Sustitutorio Justicia   Mayoria15/05/2001 Dictamen Favorable Sustitutorio Reforma de Códigos   Mayoria,Periodo de gobierno 2000 - 2001.,Segunda Legislatura Ordinaria 2000,"


seguimiento
>

>





  ver documentos de ley relacionados


periodo:..periodo de gobierno 2000 - 2001.
legislatura:segunda legislatura ordinaria 2000
número:01271 
fecha presentación:22/01/2001
pr",1995-2001,2025-09-17T20:33:07.475916
unión civil,[],"https://www2.congreso.gob.pe/Sicr/TraDocEstProc/CLProLey2000.nsf/e7414acd4ff8d62b05256cdf006c92bb/73e250ee1a186b2105256ce1006d58c0?OpenDocument&Highlight=0,uni%C3%B3n,civil",AMNISTIA:OLLANTA MOISES HUMALA TASSO CONCEDE...,Ley Nº: 2738122/12/2000 AMNISTIA PERSONALCIVIL/MILITAR DE LEVANTAMIENTO 29 OCTUBRE DE 2000,14/12/2000,Promulgado Ley,Ley que concede amnistía al personal militar ycivilque participó en el levantamiento del 29 deoctubre de 2000.,Martínez Morosini  Humberto Augusto,Congreso,Justicia19/12/2000 En comisión Justicia21/12/2000 Dispensado de Dictamen Justicia21/12/2000 Orden del Día21/12/2000 Aprobado21/12/2000 Autógrafa   Sobre Nº: 055-200022/12/2000 Publicado  Ley    Nº: 27381,Periodo de gobierno 2000 - 2001.,Segunda Legislatura Ordinaria 2000,"


seguimiento
>

>





  ver documentos de ley relacionados


periodo:..periodo de gobierno 2000 - 2001.
legislatura:segunda legislatura ordinaria 2000
número:01030 
fecha presentación:14/12/2000
pr",1995-2001,2025-09-17T20:33:09.089455
unión civil,[],"https://www2.congreso.gob.pe/Sicr/TraDocEstProc/CLProLey2000.nsf/e7414acd4ff8d62b05256cdf006c92bb/8995aa75e6eee49d05256ce1006d5c7d?OpenDocument&Highlight=0,uni%C3%B3n,civil","CODIGO CIVIL:SEPARACION DE HECHO,CAUSAL DIVORCIO",Ley Nº: 2749507/07/2001 LEY QOE INCORPORA LA SEPARACIÓN DE HECHO COMO CAUSAL DE SEPARACIÓN DE CUERPOS Y SUBSECUENTE DIVORCIO,29/08/2000,Promulgado Ley,Modifica el artículo 319° del CódigoCivily otros incorporando la Separación de Hecho como causalde Separación de Cuerpos y Subsecuente Divorcio.,Estrada Pérez  Daniel Federico,Congreso,"Reforma de Códigos31/08/2000 A comisión Mujer y Desarrollo Humano04/09/2000 En comisión Reforma de Códigos04/09/2000 En comisión Mujer y Desarrollo Humano06/09/2000 A comisión Justicia06/09/2000 En comisión Justicia28/12/2000 Dictamen Favorable Sustitutorio Justicia   Mayoria29/12/2000 Dictamen Favorable Sustitutorio Reforma de Códigos   Mayoria10/01/2001 Dictamen Favorable Sustitutorio Mujer y Desarrollo Humano    Mayoria17/01/2001 Orden del Día24/01/2001 Dictamen Favorable Sustitutorio Justicia   Minoria                      Flores-Araoz Esparza, Antero07/06/2001 Aprobado11/06/2001 Autógrafa   Sobre Nº: 17304/07/2001 Promulgado por el Congreso07/07/2001 Publicado  Ley    Nº: 27495",Periodo de gobierno 2000 - 2001.,Primera Legislatura Ordinaria 2000,"


seguimiento
>

>





  ver documentos de ley relacionados


periodo:..periodo de gobierno 2000 - 2001.
legislatura:primera legislatura ordinaria 2000
número:00278 
fecha presentación:29/08/2000
pr",1995-2001,2025-09-17T20:33:10.712589
