proyecto_ley,titulo,estado,fecha_presentacion,proponente,autores,search_term,sumilla,comisiones,url_detalle
05323/2022-CR,"LEY QUE DECLARA DE INTERÉS NACIONAL EL MEJORAMIENTO Y CONSTRUCCIÓN DE LA CARRETERA NACIONAL PE10C, PUENTE PALLAR-PUENTE CHAGUAL EN LOS DISTRITOS DE CHUGAY Y COCHORCO DE LA PROVINCIA SÁNCHEZ CARRIÓN.",Publicada en el Diario Oficial El Peruano,2023-06-13T00:00:00.000-0500,Congreso,"Alva Rojas, Carlos Enrique",gay,"PROPONE DECLARAR DE INTERÉS NACIONAL EL MEJORAMIENTO Y CONSTRUCCIÓN DE LA CARRETERA NACIONAL PE10C, PUENTE PALLAR-PUENTE CHAGUAL EN LOS DISTRITOS DE CHUGAY Y COCHORCO DE LA PROVINCIA SÁNCHEZ CARRIÓN.",['Transportes y Comunicaciones'],https://wb2server.congreso.gob.pe/spley-portal/#/expediente/main/2021/5323
05148/2022-CR,"LEY QUE DECLARA DE NECESIDAD PÚBLICA E INTERÉS NACIONAL LA CULMINACIÓN DE LA OBRA DE LA CARRETERA LONGITUDINAL DE LA SIERRA (PE-3N), TRAMOS: COCHABAMBA — CHOTA; CHOTA-HUALGAYOC- DV. YANACOCHA Y COCHABAMBA-CUTERVO-CHIPLE EN EL DEPARTAMENTO DE CAJAMARCA.",Publicada en el Diario Oficial El Peruano,2023-05-23T00:00:00.000-0500,Congreso,"Quiroz Barboza, Segundo Teodomiro; Tello Montes, Nivardo Edgar; Medina Hermosilla, Elizabeth Sara; Paredes Gonzales, Alex Antonio; Gutiérrez Ticona, Paul Silvio; Vásquez Vela, Lucinda",gay,"PROPONE DECLARAR DE NECESIDAD PÚBLICA E INTERÉS NACIONAL LA CULMINACIÓN DE LA OBRA DE LA CARRETERA LONGITUDINAL DE LA SIERRA (PE-3N), TRAMOS: COCHABAMBA — CHOTA; CHOTA-HUALGAYOC- DV. YANACOCHA Y COCHABAMBA-CUTERVO-CHIPLE EN EL DEPARTAMENTO DE CAJAMARCA.",['Transportes y Comunicaciones'],https://wb2server.congreso.gob.pe/spley-portal/#/expediente/main/2021/5148
01777/2021-CR,"LEY QUE DECLARA INTANGIBLE, INALIENABLE E IMPRESCRIPTIBLE EL CAMPO SANTO DE YUNGAY",EN COMISIÓN,2022-04-21T00:00:00.000-0500,Congreso-Actualización,,gay,"PROPONE DECLARAR INTANGIBLE, INALIENABLE E IMPRESCRIPTIBLE EL CAMPO SANTO DE YUNGAY","['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado']",https://wb2server.congreso.gob.pe/spley-portal/#/expediente/main/2021/1777
01635/2021-CR,"LEY QUE DECLARA INTANGIBLE, INALIENABLE E IMPRESCRIPTIBLE EL “CAMPO SANTO DE YUNGAY”",EN COMISIÓN,2022-04-06T00:00:00.000-0500,Congreso,"Portalatino Ávalos, Kelly Roxana; Gonza Castillo, Américo; Quispe Mamani, Wilson Rusbel; Quito Sarmiento, Bernardo Jaime; Palacios Huamán, Margot; Taipe Coronado, María Elizabeth; Cerrón Rojas, Waldemar José",gay,"PROPONE DECLARAR INTANGIBLE, INALIENABLE E IMPRESCRIPTIBLE EL “CAMPO SANTO DE YUNGAY”.","['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado']",https://wb2server.congreso.gob.pe/spley-portal/#/expediente/main/2021/1635
01632/2021-CR,Ley que transfiere la propiedad del Fundo Santa Catalina y restituye la posesión y administración a favor de la municipalidad provincial de Yugay,EN COMISIÓN,2022-04-05T00:00:00.000-0500,Congreso,"Camones Soriano, Lady Mercedes; Julón Irigoín, Elva Edhit; Jáuregui Martínez de Aguayo, María de los Milagros Jackeline; Acuña Peralta, María Grimaneza; Acuña Peralta, Segundo Héctor; Soto Reyes, Alejandro; Salhuana Cavides, Eduardo; García Correa, Idelso Manuel",gay,Propone transferir la propiedad del Fundo Santa Catalina y restituye la posesión y administración a favor de la municipalidad provincial de Yugay.,"['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado']",https://wb2server.congreso.gob.pe/spley-portal/#/expediente/main/2021/1632
01615/2021-CR,"LEY QUE DECLARA INTANGIBLE, INALIENABLE E IMPRESCRIPTIBLE EL CAMPO SANTO DE YUNGAY",EN COMISIÓN,2022-04-04T00:00:00.000-0500,Congreso,"Varas Meléndez, Elías Marcial; Cruz Mamani, Flavio; Bellido Ugarte, Guido; Marticorena Mendoza, Jorge Alfonso; Cutipa Ccama, Víctor Raúl; Tello Montes, Nivardo Edgar; Gutiérrez Ticona, Paul Silvio",gay," PROPONE DECLARAR INTANGIBLE, INALIENABLE E IMPRESCRIPTIBLE EL CAMPO SANTO DE YUNGAY","['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado']",https://wb2server.congreso.gob.pe/spley-portal/#/expediente/main/2021/1615
00752/2021-CR,"LEY QUE DECLARA DE PREFERENTE INTERÉS NACIONAL Y DE NECESIDAD PÚBLICA LA CREACIÓN DEL DISTRITO DE SAN ANTONIO EN LA PROVINCIA DE HUALGAYOC, DEPARTAMENTO DE CAJAMARCA.",Publicada en el Diario Oficial El Peruano,2021-11-17T00:00:00.000-0500,Congreso-Actualización,,gay,"Propone declarar de preferente interés nacional y de necesidad pública la creación del distrito de San Antonio en la provincia de Hualgayoc, departamento de Cajamarca.","['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado']",https://wb2server.congreso.gob.pe/spley-portal/#/expediente/main/2021/752
04191/2022-CR,LEY QUE INCORPORA EL ARTÍCULO 323.A EN EL DECRETO LEGISLATIVO N° 635 QUE APRUEBA EL CÓDIGO PENAL PERUANO PARA FORTALECER LA PROTECCIÓN DE LAS PERSONAS CON DISCAPACIDAD Y LGTBIQ+ DE LA DISCRIMINACIÓN E INCITACIÓN A LA DISCRIMINACIÓN SEGUIDA DE VIOLENCIA,EN COMISIÓN,2023-02-07T00:00:00.000-0500,Congreso,"Kamiche Morante, Luis Roberto; Limachi Quispe, Nieves Esmeralda; Echeverría Rodríguez, Hamlet; Bermejo Rojas, Guillermo; Chávez Chino, Betssy Betzabet",LGTB,PROPONE INCORPORAR EL ARTÍCULO 323.A EN EL DECRETO LEGISLATIVO N° 635 QUE APRUEBA EL CÓDIGO PENAL PERUANO PARA FORTALECER LA PROTECCIÓN DE LAS PERSONAS CON DISCAPACIDAD Y LGTBIQ+ DE LA DISCRIMINACIÓN E INCITACIÓN A LA DISCRIMINACIÓN SEGUIDA DE VIOLENCIA.,"['Justicia y Derechos Humanos', 'Inclusión Social y Personas con Discapacidad']",https://wb2server.congreso.gob.pe/spley-portal/#/expediente/main/2021/4191
03575/2022-CR,LEY QUE FORTALECE LA PROTECCIÓN DE LOS DERECHOS DE LAS PERSONAS CON DISCAPACIDAD E INTEGRANTES DE LA POBLACIÓN LGTBIQ+ EN LOS CONTROLES DE IDENTIFICACIÓN POLICIAL Y CONTROLES POLICIALES PÚBLICOS REALIZADOS POR LA POLICÍA NACIONAL DEL PERÚ,DICTAMEN,2022-11-17T00:00:00.000-0500,Congreso,"Kamiche Morante, Luis Roberto; Limachi Quispe, Nieves Esmeralda; Echeverría Rodríguez, Hamlet; Chávez Chino, Betssy Betzabet; Bermejo Rojas, Guillermo",LGTB,PROPONE FORTALECER LA PROTECCIÓN DE LOS DERECHOS DE LAS PERSONAS CON DISCAPACIDAD E INTEGRANTES DE LA POBLACIÓN LGTBIQ+ EN LOS CONTROLES DE IDENTIFICACIÓN POLICIAL Y CONTROLES POLICIALES PÚBLICOS REALIZADOS POR LA POLICÍA NACIONAL DEL PERÚ.,['Justicia y Derechos Humanos'],https://wb2server.congreso.gob.pe/spley-portal/#/expediente/main/2021/3575
04191/2022-CR,LEY QUE INCORPORA EL ARTÍCULO 323.A EN EL DECRETO LEGISLATIVO N° 635 QUE APRUEBA EL CÓDIGO PENAL PERUANO PARA FORTALECER LA PROTECCIÓN DE LAS PERSONAS CON DISCAPACIDAD Y LGTBIQ+ DE LA DISCRIMINACIÓN E INCITACIÓN A LA DISCRIMINACIÓN SEGUIDA DE VIOLENCIA,EN COMISIÓN,2023-02-07T00:00:00.000-0500,Congreso,"Kamiche Morante, Luis Roberto; Limachi Quispe, Nieves Esmeralda; Echeverría Rodríguez, Hamlet; Bermejo Rojas, Guillermo; Chávez Chino, Betssy Betzabet",LGTBI,PROPONE INCORPORAR EL ARTÍCULO 323.A EN EL DECRETO LEGISLATIVO N° 635 QUE APRUEBA EL CÓDIGO PENAL PERUANO PARA FORTALECER LA PROTECCIÓN DE LAS PERSONAS CON DISCAPACIDAD Y LGTBIQ+ DE LA DISCRIMINACIÓN E INCITACIÓN A LA DISCRIMINACIÓN SEGUIDA DE VIOLENCIA.,"['Justicia y Derechos Humanos', 'Inclusión Social y Personas con Discapacidad']",https://wb2server.congreso.gob.pe/spley-portal/#/expediente/main/2021/4191
