search_term_used,found_terms,url,title,law_number,date,status,summary,authors,proponent,committees,period,legislature,content_snippet,year,scraped_at
mismo sexo,"['mismo sexo', 'del mismo sexo']","https://www2.congreso.gob.pe/Sicr/TraDocEstProc/CLProLey2006.nsf/e7414acd4ff8d62b05256cdf006c92bb/36f318d2779acdac052577730075f361?OpenDocument&Highlight=0,mismo,sexo",UNIONES CIVILES ENTRE PERSONAS DEL MISMO SEXO/ESTABLECE....,04181/2010-CR,02/08/2010,En comisión,Propone establecer las uniones civiles entre personas del mismo sexo.,"Vargas Fernández  José Augusto,Mulder Bedoya  Claude Maurice,Cenzano Sierralta  Alfredo Tomás,Valle Riestra Gonzales Olaechea  Javier Maximiliano Alfredo Hipólito,Guevara Trelles  Miguel Luis,Rodriguez Zavaleta  Elías Nicolás",Congreso,Justicia y Derechos Humanos,Periodo de Gobierno 2006- 2011,Primera Legislatura Ordinaria 2010,"ente:congreso
grupo parlamentario:partido aprista peruano
título:uniones civiles entre personas del mismo sexo/establece....
sumilla:propone establecer las uniones civiles entre personas del mismo sex",2006-2011,2025-09-17T19:45:32.859351
mismo sexo,"['mismo sexo', 'del mismo sexo']",https://www2.congreso.gob.pe/Sicr/TraDocEstProc/CLProLey2006.nsf/debusqueda/36F318D2779ACDAC052577730075F361?opendocument,UNIONES CIVILES ENTRE PERSONAS DEL MISMO SEXO/ESTABLECE....,04181/2010-CR,02/08/2010,En comisión,Propone establecer las uniones civiles entre personas del mismo sexo.,"Vargas Fernández  José Augusto,Mulder Bedoya  Claude Maurice,Cenzano Sierralta  Alfredo Tomás,Valle Riestra Gonzales Olaechea  Javier Maximiliano Alfredo Hipólito,Guevara Trelles  Miguel Luis,Rodriguez Zavaleta  Elías Nicolás",Congreso,Justicia y Derechos Humanos,Periodo de Gobierno 2006- 2011,Primera Legislatura Ordinaria 2010,"ente:congreso
grupo parlamentario:partido aprista peruano
título:uniones civiles entre personas del mismo sexo/establece....
sumilla:propone establecer las uniones civiles entre personas del mismo sex",2006-2011,2025-09-17T19:45:34.480282
mismo sexo,"['mismo sexo', 'del mismo sexo']","https://www2.congreso.gob.pe/Sicr/TraDocEstProc/CLProLey2006.nsf/e7414acd4ff8d62b05256cdf006c92bb/36ad83992d9f7619052575970070ba6d?OpenDocument&Highlight=0,mismo,sexo",ELECCIONES:MUNICIPALES Y REGIONALES/SUPLENCIA DEL CANDIDATO,03164/2008-CR,13/04/2009,Dictamen,"Propone modificar los artículos 10° y 20° de la Ley N° 26864, Ley de Elecciones Municipales y los artículos 12° y 15° de la Ley N° 27683, Ley de Elecciones Regionales, referente a garantizar la suplencia del candidato del mismo sexo en las listas a elecciones municipales y regionales y amplía el pla...","Espinoza Cruz  Marisol,Galindo Sandoval  Cayo César,Cabrera Campos  Werner,Ruiz Delgado  Miró,Cajahuanca Rosales  Yaneth,Uribe Medina  Cenaida Cebastiana,Vilca Achata  Susana Gladis,Obregón Peralta  Nancy Rufina",Congreso,Descentralización  Regionalización  Gobiernos Locales y Modernización de la Gestión del Estado,Periodo de Gobierno 2006- 2011,Segunda Legislatura Ordinaria 2008,"a ley n° 27683, ley de elecciones regionales, referente a garantizar la suplencia del candidato del mismo sexo en las listas a elecciones municipales y regionales y amplía el plazo de subsanación de l",2006-2011,2025-09-17T19:45:36.618704
mismo sexo,"['mismo sexo', 'del mismo sexo']",https://www2.congreso.gob.pe/Sicr/TraDocEstProc/CLProLey2006.nsf/debusqueda/36AD83992D9F7619052575970070BA6D?opendocument,ELECCIONES:MUNICIPALES Y REGIONALES/SUPLENCIA DEL CANDIDATO,03164/2008-CR,13/04/2009,Dictamen,"Propone modificar los artículos 10° y 20° de la Ley N° 26864, Ley de Elecciones Municipales y los artículos 12° y 15° de la Ley N° 27683, Ley de Elecciones Regionales, referente a garantizar la suplencia del candidato del mismo sexo en las listas a elecciones municipales y regionales y amplía el pla...","Espinoza Cruz  Marisol,Galindo Sandoval  Cayo César,Cabrera Campos  Werner,Ruiz Delgado  Miró,Cajahuanca Rosales  Yaneth,Uribe Medina  Cenaida Cebastiana,Vilca Achata  Susana Gladis,Obregón Peralta  Nancy Rufina",Congreso,Descentralización  Regionalización  Gobiernos Locales y Modernización de la Gestión del Estado,Periodo de Gobierno 2006- 2011,Segunda Legislatura Ordinaria 2008,"a ley n° 27683, ley de elecciones regionales, referente a garantizar la suplencia del candidato del mismo sexo en las listas a elecciones municipales y regionales y amplía el plazo de subsanación de l",2006-2011,2025-09-17T19:45:38.356950
del mismo sexo,"['mismo sexo', 'del mismo sexo']","https://www2.congreso.gob.pe/Sicr/TraDocEstProc/CLProLey2006.nsf/e7414acd4ff8d62b05256cdf006c92bb/36f318d2779acdac052577730075f361?OpenDocument&Highlight=0,del,mismo,sexo",UNIONES CIVILES ENTRE PERSONAS DEL MISMO SEXO/ESTABLECE....,04181/2010-CR,02/08/2010,En comisión,Propone establecer las uniones civiles entre personas del mismo sexo.,"Vargas Fernández  José Augusto,Mulder Bedoya  Claude Maurice,Cenzano Sierralta  Alfredo Tomás,Valle Riestra Gonzales Olaechea  Javier Maximiliano Alfredo Hipólito,Guevara Trelles  Miguel Luis,Rodriguez Zavaleta  Elías Nicolás",Congreso,Justicia y Derechos Humanos,Periodo de Gobierno 2006- 2011,Primera Legislatura Ordinaria 2010,"ente:congreso
grupo parlamentario:partido aprista peruano
título:uniones civiles entre personas del mismo sexo/establece....
sumilla:propone establecer las uniones civiles entre personas del mismo sex",2006-2011,2025-09-17T19:47:21.799124
del mismo sexo,"['mismo sexo', 'del mismo sexo']",https://www2.congreso.gob.pe/Sicr/TraDocEstProc/CLProLey2006.nsf/debusqueda/36F318D2779ACDAC052577730075F361?opendocument,UNIONES CIVILES ENTRE PERSONAS DEL MISMO SEXO/ESTABLECE....,04181/2010-CR,02/08/2010,En comisión,Propone establecer las uniones civiles entre personas del mismo sexo.,"Vargas Fernández  José Augusto,Mulder Bedoya  Claude Maurice,Cenzano Sierralta  Alfredo Tomás,Valle Riestra Gonzales Olaechea  Javier Maximiliano Alfredo Hipólito,Guevara Trelles  Miguel Luis,Rodriguez Zavaleta  Elías Nicolás",Congreso,Justicia y Derechos Humanos,Periodo de Gobierno 2006- 2011,Primera Legislatura Ordinaria 2010,"ente:congreso
grupo parlamentario:partido aprista peruano
título:uniones civiles entre personas del mismo sexo/establece....
sumilla:propone establecer las uniones civiles entre personas del mismo sex",2006-2011,2025-09-17T19:47:23.516315
del mismo sexo,"['mismo sexo', 'del mismo sexo']","https://www2.congreso.gob.pe/Sicr/TraDocEstProc/CLProLey2006.nsf/e7414acd4ff8d62b05256cdf006c92bb/36ad83992d9f7619052575970070ba6d?OpenDocument&Highlight=0,del,mismo,sexo",ELECCIONES:MUNICIPALES Y REGIONALES/SUPLENCIA DEL CANDIDATO,03164/2008-CR,13/04/2009,Dictamen,"Propone modificar los artículos 10° y 20° de la Ley N° 26864, Ley de Elecciones Municipales y los artículos 12° y 15° de la Ley N° 27683, Ley de Elecciones Regionales, referente a garantizar la suplencia del candidato del mismo sexo en las listas a elecciones municipales y regionales y amplía el pla...","Espinoza Cruz  Marisol,Galindo Sandoval  Cayo César,Cabrera Campos  Werner,Ruiz Delgado  Miró,Cajahuanca Rosales  Yaneth,Uribe Medina  Cenaida Cebastiana,Vilca Achata  Susana Gladis,Obregón Peralta  Nancy Rufina",Congreso,Descentralización  Regionalización  Gobiernos Locales y Modernización de la Gestión del Estado,Periodo de Gobierno 2006- 2011,Segunda Legislatura Ordinaria 2008,"a ley n° 27683, ley de elecciones regionales, referente a garantizar la suplencia del candidato del mismo sexo en las listas a elecciones municipales y regionales y amplía el plazo de subsanación de l",2006-2011,2025-09-17T19:47:25.149558
del mismo sexo,"['mismo sexo', 'del mismo sexo']",https://www2.congreso.gob.pe/Sicr/TraDocEstProc/CLProLey2006.nsf/debusqueda/36AD83992D9F7619052575970070BA6D?opendocument,ELECCIONES:MUNICIPALES Y REGIONALES/SUPLENCIA DEL CANDIDATO,03164/2008-CR,13/04/2009,Dictamen,"Propone modificar los artículos 10° y 20° de la Ley N° 26864, Ley de Elecciones Municipales y los artículos 12° y 15° de la Ley N° 27683, Ley de Elecciones Regionales, referente a garantizar la suplencia del candidato del mismo sexo en las listas a elecciones municipales y regionales y amplía el pla...","Espinoza Cruz  Marisol,Galindo Sandoval  Cayo César,Cabrera Campos  Werner,Ruiz Delgado  Miró,Cajahuanca Rosales  Yaneth,Uribe Medina  Cenaida Cebastiana,Vilca Achata  Susana Gladis,Obregón Peralta  Nancy Rufina",Congreso,Descentralización  Regionalización  Gobiernos Locales y Modernización de la Gestión del Estado,Periodo de Gobierno 2006- 2011,Segunda Legislatura Ordinaria 2008,"a ley n° 27683, ley de elecciones regionales, referente a garantizar la suplencia del candidato del mismo sexo en las listas a elecciones municipales y regionales y amplía el plazo de subsanación de l",2006-2011,2025-09-17T19:47:26.874298
nombre social,[],"https://www2.congreso.gob.pe/Sicr/TraDocEstProc/CLProLey2006.nsf/e7414acd4ff8d62b05256cdf006c92bb/7e84a638cf86069105257460007664c4?OpenDocument&Highlight=0,nombre,social",PODER:EJECUTIVO L.29158/CAMBIAR NOMBRE MINISTERIO DE LA MUJER,02482/2007-CR,06/06/2008,Orden del Día,"Propone sustituir el numeral 9 a la Primera Disposición Final de la Ley Nº 29158, Ley Orgánica del Poder Ejecutivo - LOPE, referente a cambiar el nombre del Ministerio de la Mujer y Desarrollo Social por el Ministerio de la Familia, Mujer y Desarrollo Social.","Lazo Ríos de Hornung  Alda Mirta,Lescano Ancieta  Yonhy,Waisman Rjavinsthi  David,García Belaunde  Víctor Andrés,Bruce Montes de Oca  Carlos Ricardo,Perry Cruz  Juan David",Congreso,Descentralización  Regionalización  Gobiernos Locales y Modernización de la Gestión del Estado,Periodo de Gobierno 2006- 2011,Segunda Legislatura Ordinaria 2007,"


seguimiento
>

>






ficha de seguimiento, ""proyecto de ley 02482/2007-cr ""
  ver expediente digital  


período:periodo de gobierno 2006- 2011.legislatura:.segunda legislatura ordinaria 2007
núm",2006-2011,2025-09-17T19:47:31.041525
nombre social,[],https://www2.congreso.gob.pe/Sicr/TraDocEstProc/CLProLey2006.nsf/debusqueda/7E84A638CF86069105257460007664C4?opendocument,PODER:EJECUTIVO L.29158/CAMBIAR NOMBRE MINISTERIO DE LA MUJER,02482/2007-CR,06/06/2008,Orden del Día,"Propone sustituir el numeral 9 a la Primera Disposición Final de la Ley Nº 29158, Ley Orgánica del Poder Ejecutivo - LOPE, referente a cambiar el nombre del Ministerio de la Mujer y Desarrollo Social por el Ministerio de la Familia, Mujer y Desarrollo Social.","Lazo Ríos de Hornung  Alda Mirta,Lescano Ancieta  Yonhy,Waisman Rjavinsthi  David,García Belaunde  Víctor Andrés,Bruce Montes de Oca  Carlos Ricardo,Perry Cruz  Juan David",Congreso,Descentralización  Regionalización  Gobiernos Locales y Modernización de la Gestión del Estado,Periodo de Gobierno 2006- 2011,Segunda Legislatura Ordinaria 2007,"


seguimiento
>

>






ficha de seguimiento, ""proyecto de ley 02482/2007-cr ""
  ver expediente digital  


período:periodo de gobierno 2006- 2011.legislatura:.segunda legislatura ordinaria 2007
núm",2006-2011,2025-09-17T19:47:32.667815
