search_term_used,found_terms,url,title,law_number,date,status,summary,authors,proponent,committees,period,legislature,content_snippet,year,scraped_at
unión civil,[],"https://www2.congreso.gob.pe/Sicr/TraDocEstProc/CLProLey2011.nsf/a2456c0b2b8f6105052586d900564189/587cf571e9aa3c68052583850063b767?OpenDocument&Highlight=0,uni%C3%B3n,civil",LEY QUE BUSCA INCLUIR LAS VÍAS INTERNAS DE LOS LOCALES EN LA COBERTURA DEL SEGURO OBLIGATORIO POR ACCIDENTES DE TRÁNSITO (SOAT),05308/2015-CR,18/05/2016,En comisión,"Propone modificar el artículo 37 del Reglamento Nacional de Responsabilidad Civil y Seguros Obligatorios por Accidentes de Tránsito, busca incluir las vías internas de los locales en la cobertura del Seguro Obligatorio de Accidentes de Tránsito (SOAT).","Portugal Catacora  Mariano Eutropio,Lay Sun  Humberto,Canches Guzman  Rogelio Antenor,Lewis Del Alcazar  Norman David",Congreso,Transportes y Comunicaciones,Periodo de Gobierno 2011 - 2016.,Segunda Legislatura Ordinaria 2015,"


seguimiento










ficha de seguimiento, ""proyecto de ley 05308/2015-cr ""


 ver expediente digital   

período:periodo de gobierno 2011 - 2016.
legislatura:segunda legislatura ordinaria 2015
fe",2011-2016,2025-09-17T20:59:59.202236
unión civil,[],https://www2.congreso.gob.pe/Sicr/TraDocEstProc/CLProLey2011.nsf/debusqueda2/587CF571E9AA3C68052583850063B767?opendocument,LEY QUE BUSCA INCLUIR LAS VÍAS INTERNAS DE LOS LOCALES EN LA COBERTURA DEL SEGURO OBLIGATORIO POR ACCIDENTES DE TRÁNSITO (SOAT),05308/2015-CR,18/05/2016,En comisión,"Propone modificar el artículo 37 del Reglamento Nacional de Responsabilidad Civil y Seguros Obligatorios por Accidentes de Tránsito, busca incluir las vías internas de los locales en la cobertura del Seguro Obligatorio de Accidentes de Tránsito (SOAT).","Portugal Catacora  Mariano Eutropio,Lay Sun  Humberto,Canches Guzman  Rogelio Antenor,Lewis Del Alcazar  Norman David",Congreso,Transportes y Comunicaciones,Periodo de Gobierno 2011 - 2016.,Segunda Legislatura Ordinaria 2015,"


seguimiento










ficha de seguimiento, ""proyecto de ley 05308/2015-cr ""


 ver expediente digital   

período:periodo de gobierno 2011 - 2016.
legislatura:segunda legislatura ordinaria 2015
fe",2011-2016,2025-09-17T21:00:00.672198
unión civil,[],"https://www2.congreso.gob.pe/Sicr/TraDocEstProc/CLProLey2011.nsf/a2456c0b2b8f6105052586d900564189/d89b17351d183648052583850063b682?OpenDocument&Highlight=0,uni%C3%B3n,civil",DECRETO LEGISLATIVO 1149/ LEY DE LA PNP Y DE LA LEY DE LA CARRERA DE LA PNP,05161/2015-CR,03/03/2016,En comisión,"Propone incorporar la sexta disposición complementaria transitoria al Decreto Legislativo 1149, Ley de la carrera y situación del personal policial de la Policía Nacional del Perú.","Apaza Condori  Emiliano,Isla Rojas  Víctor,Zamudio Briceńo  Tomás Martín,Carrillo Cavero  Hugo,Coa Aguilar  Ruben Rolando,Condori Cusi  Ruben,Molina Martinez  Agustin F,Valencia Quiroz  Jaime Ruben",Congreso,"Defensa Nacional, Orden Interno, Desarrollo Alternativo y Lucha contra la Drogas",Periodo de Gobierno 2011 - 2016.,Segunda Legislatura Ordinaria 2015,"


seguimiento










ficha de seguimiento, ""proyecto de ley 05161/2015-cr ""


 ver expediente digital   

período:periodo de gobierno 2011 - 2016.
legislatura:segunda legislatura ordinaria 2015
fe",2011-2016,2025-09-17T21:00:02.303374
unión civil,[],https://www2.congreso.gob.pe/Sicr/TraDocEstProc/CLProLey2011.nsf/debusqueda2/D89B17351D183648052583850063B682?opendocument,DECRETO LEGISLATIVO 1149/ LEY DE LA PNP Y DE LA LEY DE LA CARRERA DE LA PNP,05161/2015-CR,03/03/2016,En comisión,"Propone incorporar la sexta disposición complementaria transitoria al Decreto Legislativo 1149, Ley de la carrera y situación del personal policial de la Policía Nacional del Perú.","Apaza Condori  Emiliano,Isla Rojas  Víctor,Zamudio Briceńo  Tomás Martín,Carrillo Cavero  Hugo,Coa Aguilar  Ruben Rolando,Condori Cusi  Ruben,Molina Martinez  Agustin F,Valencia Quiroz  Jaime Ruben",Congreso,"Defensa Nacional, Orden Interno, Desarrollo Alternativo y Lucha contra la Drogas",Periodo de Gobierno 2011 - 2016.,Segunda Legislatura Ordinaria 2015,"


seguimiento










ficha de seguimiento, ""proyecto de ley 05161/2015-cr ""


 ver expediente digital   

período:periodo de gobierno 2011 - 2016.
legislatura:segunda legislatura ordinaria 2015
fe",2011-2016,2025-09-17T21:00:03.925317
unión civil,[],"https://www2.congreso.gob.pe/Sicr/TraDocEstProc/CLProLey2011.nsf/a2456c0b2b8f6105052586d900564189/441c8ed2a22cfd8a052583850063b636?OpenDocument&Highlight=0,uni%C3%B3n,civil",LEY QUE INCORPORA A LOS MÚSICOS DE LA POLICÍA NACIONAL DEL PERÚ DE LA MODALIDAD CONTRATO ADMINISTRATIVO DE SERVICIOS C.A.S. EN LA CATEGORÍA DE SUB OFICIALES DE LA POLICÍA NACIONAL DEL PERÚ,05112/2015-CR,30/12/2015,En comisión,Propone incorporar a los músicos de la Policía Nacional del Perú en la modalidad de contrato administrativo de servicios (C.A.S.) en la categoría de Sub Oficiales de la Policía Nacional del Perú.,"Portugal Catacora  Mariano Eutropio,Falconi Picardo  Marco Tulio,Lewis Del Alcazar  Norman David,Canches Guzman  Rogelio Antenor",Congreso,"Defensa Nacional, Orden Interno, Desarrollo Alternativo y Lucha contra la Drogas",Periodo de Gobierno 2011 - 2016.,Primera Legislatura Ordinaria 2015,"


seguimiento










ficha de seguimiento, ""proyecto de ley 05112/2015-cr ""


 ver expediente digital   

período:periodo de gobierno 2011 - 2016.
legislatura:primera legislatura ordinaria 2015
fe",2011-2016,2025-09-17T21:00:05.556397
unión civil,[],https://www2.congreso.gob.pe/Sicr/TraDocEstProc/CLProLey2011.nsf/debusqueda2/441C8ED2A22CFD8A052583850063B636?opendocument,LEY QUE INCORPORA A LOS MÚSICOS DE LA POLICÍA NACIONAL DEL PERÚ DE LA MODALIDAD CONTRATO ADMINISTRATIVO DE SERVICIOS C.A.S. EN LA CATEGORÍA DE SUB OFICIALES DE LA POLICÍA NACIONAL DEL PERÚ,05112/2015-CR,30/12/2015,En comisión,Propone incorporar a los músicos de la Policía Nacional del Perú en la modalidad de contrato administrativo de servicios (C.A.S.) en la categoría de Sub Oficiales de la Policía Nacional del Perú.,"Portugal Catacora  Mariano Eutropio,Falconi Picardo  Marco Tulio,Lewis Del Alcazar  Norman David,Canches Guzman  Rogelio Antenor",Congreso,"Defensa Nacional, Orden Interno, Desarrollo Alternativo y Lucha contra la Drogas",Periodo de Gobierno 2011 - 2016.,Primera Legislatura Ordinaria 2015,"


seguimiento










ficha de seguimiento, ""proyecto de ley 05112/2015-cr ""


 ver expediente digital   

período:periodo de gobierno 2011 - 2016.
legislatura:primera legislatura ordinaria 2015
fe",2011-2016,2025-09-17T21:00:07.177389
unión civil,[],"https://www2.congreso.gob.pe/Sicr/TraDocEstProc/CLProLey2011.nsf/a2456c0b2b8f6105052586d900564189/60af4ba19a352713052583850063b560?OpenDocument&Highlight=0,uni%C3%B3n,civil",CÓDIGO:CIVIL 153/PODER IRREVOCABLE,04976/2015-CR,12/11/2015,En comisión,"Propone modificar el artículo 153 del Código Civil, relacionado al poder irrevocable, respecto al plazo.","Falconi Picardo  Marco Tulio,Canches Guzman  Rogelio Antenor,Lewis Del Alcazar  Norman David,Monterola Abregu  Wuilian Alfonso,Portugal Catacora  Mariano Eutropio",Congreso,Justicia y Derechos Humanos,Periodo de Gobierno 2011 - 2016.,Primera Legislatura Ordinaria 2015,"


seguimiento










ficha de seguimiento, ""proyecto de ley 04976/2015-cr ""


 ver expediente digital   

período:periodo de gobierno 2011 - 2016.
legislatura:primera legislatura ordinaria 2015
fe",2011-2016,2025-09-17T21:00:09.067667
unión civil,[],https://www2.congreso.gob.pe/Sicr/TraDocEstProc/CLProLey2011.nsf/debusqueda2/60AF4BA19A352713052583850063B560?opendocument,CÓDIGO:CIVIL 153/PODER IRREVOCABLE,04976/2015-CR,12/11/2015,En comisión,"Propone modificar el artículo 153 del Código Civil, relacionado al poder irrevocable, respecto al plazo.","Falconi Picardo  Marco Tulio,Canches Guzman  Rogelio Antenor,Lewis Del Alcazar  Norman David,Monterola Abregu  Wuilian Alfonso,Portugal Catacora  Mariano Eutropio",Congreso,Justicia y Derechos Humanos,Periodo de Gobierno 2011 - 2016.,Primera Legislatura Ordinaria 2015,"


seguimiento










ficha de seguimiento, ""proyecto de ley 04976/2015-cr ""


 ver expediente digital   

período:periodo de gobierno 2011 - 2016.
legislatura:primera legislatura ordinaria 2015
fe",2011-2016,2025-09-17T21:00:10.542801
unión civil,[],"https://www2.congreso.gob.pe/Sicr/TraDocEstProc/CLProLey2011.nsf/a2456c0b2b8f6105052586d900564189/e2ac8f94b2ae0fc7052583850063b235?OpenDocument&Highlight=0,uni%C3%B3n,civil",CÓDIGO: PROCESAL CIVIL/INCORPORA ARTÍCULOS AL ...,04462/2014-CR,27/04/2015,En comisión,"Propone incorporar los artículos 82-A, 82-B, 82-C, 82-D y 82-E al Código Procesal Civil, con el fin de otorgar adecuada y oportuna tutela jurisdiccional colectiva de derechos individuales homogéneos.","Falconi Picardo  Marco Tulio,Canches Guzman  Rogelio Antenor,Lewis Del Alcazar  Norman David,Portugal Catacora  Mariano Eutropio",Congreso,Justicia y Derechos Humanos,Periodo de Gobierno 2011 - 2016.,Segunda Legislatura Ordinaria 2014,"


seguimiento










ficha de seguimiento, ""proyecto de ley 04462/2014-cr ""


 ver expediente digital   

período:periodo de gobierno 2011 - 2016.
legislatura:segunda legislatura ordinaria 2014
fe",2011-2016,2025-09-17T21:00:12.015681
unión civil,[],https://www2.congreso.gob.pe/Sicr/TraDocEstProc/CLProLey2011.nsf/debusqueda2/E2AC8F94B2AE0FC7052583850063B235?opendocument,CÓDIGO: PROCESAL CIVIL/INCORPORA ARTÍCULOS AL ...,04462/2014-CR,27/04/2015,En comisión,"Propone incorporar los artículos 82-A, 82-B, 82-C, 82-D y 82-E al Código Procesal Civil, con el fin de otorgar adecuada y oportuna tutela jurisdiccional colectiva de derechos individuales homogéneos.","Falconi Picardo  Marco Tulio,Canches Guzman  Rogelio Antenor,Lewis Del Alcazar  Norman David,Portugal Catacora  Mariano Eutropio",Congreso,Justicia y Derechos Humanos,Periodo de Gobierno 2011 - 2016.,Segunda Legislatura Ordinaria 2014,"


seguimiento










ficha de seguimiento, ""proyecto de ley 04462/2014-cr ""


 ver expediente digital   

período:periodo de gobierno 2011 - 2016.
legislatura:segunda legislatura ordinaria 2014
fe",2011-2016,2025-09-17T21:00:13.478727
