search_term_used,found_terms,url,title,law_number,date,status,summary,authors,proponent,committees,period,legislature,content_snippet,year,scraped_at
unión civil,[],"https://www2.congreso.gob.pe/Sicr/TraDocEstProc/CLProLey1995.nsf/e7414acd4ff8d62b05256cdf006c92bb/f4a31015d4e642b705256ce1006a5a55?OpenDocument&Highlight=0,uni%C3%B3n,civil",CODIGO CIVIL:MOD.ARTS.RELATIVOS A HERENCIA,04892,09/06/1999,Al Archivo,"Modifica los artículos 667°, 686°, 691°, 723°, 724°, 725°, 728°, 733°, 738°, 739°, 746°, 748°, 750°, 751°, 753°, 756°, 815° y 816° del CódigoCivil; y deroga diversos artículos del referido Código; relativos a la  herencia.",DONAYRE LOZANO  JORGE LUIS,CONGRESO DE LA REPUBLICA,Reforma de Códigos14/06/1999 En Comisión Reforma de Códigos17/06/1999 Rechazado de plano Reforma de Códigos06/08/1999 Al Archivo,Periodo de Gobierno 1995 - 2000.,Segunda Legislatura Ordinaria de 1998,"


seguimiento
>

>


1995



 ver documentos de ley relacionados 



periodo:periodo de gobierno 1995 - 2000.
legislatura:segunda legislatura ordinaria de 1998
número:04892 
fecha presentación:09/06/",1995-2000,2025-09-17T20:43:30.780040
unión civil,[],https://www2.congreso.gob.pe/Sicr/TraDocEstProc/CLProLey1995.nsf/debusqueda/F4A31015D4E642B705256CE1006A5A55?opendocument,CODIGO CIVIL:MOD.ARTS.RELATIVOS A HERENCIA,04892,09/06/1999,Al Archivo,"Modifica los artículos 667°, 686°, 691°, 723°, 724°, 725°, 728°, 733°, 738°, 739°, 746°, 748°, 750°, 751°, 753°, 756°, 815° y 816° del Código Civil; y deroga diversos artículos del referido Código; relativos a la  herencia.",DONAYRE LOZANO  JORGE LUIS,CONGRESO DE LA REPUBLICA,Reforma de Códigos14/06/1999 En Comisión Reforma de Códigos17/06/1999 Rechazado de plano Reforma de Códigos06/08/1999 Al Archivo,Periodo de Gobierno 1995 - 2000.,Segunda Legislatura Ordinaria de 1998,"


seguimiento
>

>


1995



 ver documentos de ley relacionados 



periodo:periodo de gobierno 1995 - 2000.
legislatura:segunda legislatura ordinaria de 1998
número:04892 
fecha presentación:09/06/",1995-2000,2025-09-17T20:43:32.398962
unión civil,[],"https://www2.congreso.gob.pe/Sicr/TraDocEstProc/CLProLey1995.nsf/e7414acd4ff8d62b05256cdf006c92bb/33eff214127e258505256ce1006a597b?OpenDocument&Highlight=0,uni%C3%B3n,civil",CODIGO CIVIL:0333-SEPARACION HECHO/CAUSAL DIVORCIO,04662,07/04/1999,Orden del Día,"Adiciona un inciso al artículo 333° y modifica los artículos 335°, 345°, 349° y 354° del CódigoCivil, incorporando como causal de divorcio la separación de hecho con una duración no menor de dos años continuos.",ESTRADA PEREZ  DANIEL,CONGRESO DE LA REPUBLICA,"Justicia08/04/1999 En Comisión Justicia06/08/1999 Al Archivo06/08/1999 Al Archivo14/09/1999 Actualizado Justicia17/09/1999 A Comisión Justicia17/09/1999 A Comisión Mujer, Desarrollo Humano23/09/1999 En Comisión Justicia23/09/1999 En Comisión Mujer, Desarrollo Humano03/11/1999 Dictamen Justicia Favorable Sustitutorio   Mayoria18/11/1999 Dictamen Mujer, Desarrollo Humano Favorable Sustitutorio   Mayoria25/11/1999 Orden del Día",Periodo de Gobierno 1995 - 2000.,Segunda Legislatura Ordinaria de 1998,"


seguimiento
>

>


1995



 ver documentos de ley relacionados 



periodo:periodo de gobierno 1995 - 2000.
legislatura:segunda legislatura ordinaria de 1998
número:04662 
fecha presentación:07/04/",1995-2000,2025-09-17T20:43:34.019142
unión civil,[],https://www2.congreso.gob.pe/Sicr/TraDocEstProc/CLProLey1995.nsf/debusqueda/33EFF214127E258505256CE1006A597B?opendocument,CODIGO CIVIL:0333-SEPARACION HECHO/CAUSAL DIVORCIO,04662,07/04/1999,Orden del Día,"Adiciona un inciso al artículo 333° y modifica los artículos 335°, 345°, 349° y 354° del Código Civil, incorporando como causal de divorcio la separación de hecho con una duración no menor de dos años continuos.",ESTRADA PEREZ  DANIEL,CONGRESO DE LA REPUBLICA,"Justicia08/04/1999 En Comisión Justicia06/08/1999 Al Archivo06/08/1999 Al Archivo14/09/1999 Actualizado Justicia17/09/1999 A Comisión Justicia17/09/1999 A Comisión Mujer, Desarrollo Humano23/09/1999 En Comisión Justicia23/09/1999 En Comisión Mujer, Desarrollo Humano03/11/1999 Dictamen Justicia Favorable Sustitutorio   Mayoria18/11/1999 Dictamen Mujer, Desarrollo Humano Favorable Sustitutorio   Mayoria25/11/1999 Orden del Día",Periodo de Gobierno 1995 - 2000.,Segunda Legislatura Ordinaria de 1998,"


seguimiento
>

>


1995



 ver documentos de ley relacionados 



periodo:periodo de gobierno 1995 - 2000.
legislatura:segunda legislatura ordinaria de 1998
número:04662 
fecha presentación:07/04/",1995-2000,2025-09-17T20:43:35.638895
unión civil,[],"https://www2.congreso.gob.pe/Sicr/TraDocEstProc/CLProLey1995.nsf/e7414acd4ff8d62b05256cdf006c92bb/f3a5ff9db5276d1705256ce1006a364a?OpenDocument&Highlight=0,uni%C3%B3n,civil",CODIGO PROC.CIVIL:DEMANDAS CONTENCIOSO-ADMINISTRAT,"Ley Nº: 2703825/01/1999 LEY QUE MODIFICA EL DECRETO LEGISLATIVO Nº816 - CODIGO TRIBUTARIO, Y NORMAS CONEXAS.",02/11/1998,Promulgado Ley,"Modifica el artículo 542° del Código ProcesalCivil, Decreto legislativo N° 768, referido a la demanda contencioso-administrativa contra resoluciones emanadas del tribunal fiscal, a las que se aplicará el procedimiento establecido en el Código Tributario.",FERNANDEZ BACA  GRACIELA,CONGRESO DE LA REPUBLICA,Reforma de Códigos10/11/1998 En Comisión Reforma de Códigos25/01/1999 Aprobado25/01/1999 Promulgado  Ley   Nº: 27038,Periodo de Gobierno 1995 - 2000.,Primera Legislatura Ordinaria de 1998,"


seguimiento
>

>


1995



 ver documentos de ley relacionados 



periodo:periodo de gobierno 1995 - 2000.
legislatura:primera legislatura ordinaria de 1998
número:04182 
fecha presentación:02/11/",1995-2000,2025-09-17T20:43:37.263876
unión civil,[],https://www2.congreso.gob.pe/Sicr/TraDocEstProc/CLProLey1995.nsf/debusqueda/F3A5FF9DB5276D1705256CE1006A364A?opendocument,CODIGO PROC.CIVIL:DEMANDAS CONTENCIOSO-ADMINISTRAT,"Ley Nº: 2703825/01/1999 LEY QUE MODIFICA EL DECRETO LEGISLATIVO Nº816 - CODIGO TRIBUTARIO, Y NORMAS CONEXAS.",02/11/1998,Promulgado Ley,"Modifica el artículo 542° del Código Procesal Civil, Decreto legislativo N° 768, referido a la demanda contencioso-administrativa contra resoluciones emanadas del tribunal fiscal, a las que se aplicará el procedimiento establecido en el Código Tributario.",FERNANDEZ BACA  GRACIELA,CONGRESO DE LA REPUBLICA,Reforma de Códigos10/11/1998 En Comisión Reforma de Códigos25/01/1999 Aprobado25/01/1999 Promulgado  Ley   Nº: 27038,Periodo de Gobierno 1995 - 2000.,Primera Legislatura Ordinaria de 1998,"


seguimiento
>

>


1995



 ver documentos de ley relacionados 



periodo:periodo de gobierno 1995 - 2000.
legislatura:primera legislatura ordinaria de 1998
número:04182 
fecha presentación:02/11/",1995-2000,2025-09-17T20:43:38.888897
unión civil,[],"https://www2.congreso.gob.pe/Sicr/TraDocEstProc/CLProLey1995.nsf/e7414acd4ff8d62b05256cdf006c92bb/49ed7e2ccc215e6205256ce1006a35e4?OpenDocument&Highlight=0,uni%C3%B3n,civil",CODIGO TRIBUTARIO:192-ADM.TRIB./FORMULA DEN.PENAL,"Ley Nº: 2703831/12/1998 LEY QUE MODIFICA EL DECRETO LEGISLATIVO Nº816 - CODIGO TRIBUTARIO, Y NORMAS CONEXAS.",01/10/1998,Promulgado Ley,"Modifica el tercer párrafo del artículo 192° del Código Tributario referido a la facultad que posee la administración tributaria de formular denuncia penal, siempre que hubiere culminado el procedimiento de fiscalización o verificación y a constituirse en partecivilen el proceso respectivo.",FERNANDEZ BACA  GRACIELA,CONGRESO DE LA REPUBLICA,Economía06/10/1998 En Comisión Economía15/12/1998 Dictamen Economía Favorable  Mayoria22/12/1998 Orden del Día22/12/1998 Dictamen Economía Favorable  Mayoria22/12/1998 Aprobado28/12/1998 Autógrafa   Sobre Nº:  84-9831/12/1998 Promulgado  Ley   Nº: 27038,Periodo de Gobierno 1995 - 2000.,Primera Legislatura Ordinaria de 1998,"


seguimiento
>

>


1995



 ver documentos de ley relacionados 



periodo:periodo de gobierno 1995 - 2000.
legislatura:primera legislatura ordinaria de 1998
número:04069 
fecha presentación:01/10/",1995-2000,2025-09-17T20:43:40.513572
unión civil,[],https://www2.congreso.gob.pe/Sicr/TraDocEstProc/CLProLey1995.nsf/debusqueda/49ED7E2CCC215E6205256CE1006A35E4?opendocument,CODIGO TRIBUTARIO:192-ADM.TRIB./FORMULA DEN.PENAL,"Ley Nº: 2703831/12/1998 LEY QUE MODIFICA EL DECRETO LEGISLATIVO Nº816 - CODIGO TRIBUTARIO, Y NORMAS CONEXAS.",01/10/1998,Promulgado Ley,"Modifica el tercer párrafo del artículo 192° del Código Tributario referido a la facultad que posee la administración tributaria de formular denuncia penal, siempre que hubiere culminado el procedimiento de fiscalización o verificación y a constituirse en parte civil en el proceso respectivo.",FERNANDEZ BACA  GRACIELA,CONGRESO DE LA REPUBLICA,Economía06/10/1998 En Comisión Economía15/12/1998 Dictamen Economía Favorable  Mayoria22/12/1998 Orden del Día22/12/1998 Dictamen Economía Favorable  Mayoria22/12/1998 Aprobado28/12/1998 Autógrafa   Sobre Nº:  84-9831/12/1998 Promulgado  Ley   Nº: 27038,Periodo de Gobierno 1995 - 2000.,Primera Legislatura Ordinaria de 1998,"


seguimiento
>

>


1995



 ver documentos de ley relacionados 



periodo:periodo de gobierno 1995 - 2000.
legislatura:primera legislatura ordinaria de 1998
número:04069 
fecha presentación:01/10/",1995-2000,2025-09-17T20:43:42.622042
unión civil,[],"https://www2.congreso.gob.pe/Sicr/TraDocEstProc/CLProLey1995.nsf/e7414acd4ff8d62b05256cdf006c92bb/6f6603e274ba133105256ce1006a35c9?OpenDocument&Highlight=0,uni%C3%B3n,civil",SEGURO VEHICULOS:RESPONSAB.CIVIL DAÑOS PERSONALES,Ley Nº: 2718108/10/1999 LEY GENERAL DE TRANSPORTE Y TRANSITO TERRESTRE,23/09/1998,Promulgado Ley,Ley General de Transporte y Tránsito Terrestre.,FORSYTH MEJIA  HAROLD,CONGRESO DE LA REPUBLICA,Infraestructura y Transporte28/09/1998 En Comisión Infraestructura y Transporte03/12/1998 Dictamen Infraestructura y Transporte Favorable  Mayoria11/12/1998 Orden del Día21/07/1999 Aprobado23/07/1999 Autógrafa   Sobre Nº: 215-9826/08/1999 Observado26/08/1999 A Comisión Infraestructura y Transporte26/08/1999 En Comisión Infraestructura y Transporte30/09/1999 Orden del Día30/09/1999 Aprobado05/10/1999 Autógrafa   Sobre Nº: 21-9908/10/1999 Promulgado  Ley     Nº: 27181,Periodo de Gobierno 1995 - 2000.,Primera Legislatura Ordinaria de 1998,"


seguimiento
>

>


1995



 ver documentos de ley relacionados 



periodo:periodo de gobierno 1995 - 2000.
legislatura:primera legislatura ordinaria de 1998
número:04040 
fecha presentación:23/09/",1995-2000,2025-09-17T20:43:44.245814
unión civil,[],https://www2.congreso.gob.pe/Sicr/TraDocEstProc/CLProLey1995.nsf/debusqueda/6F6603E274BA133105256CE1006A35C9?opendocument,SEGURO VEHICULOS:RESPONSAB.CIVIL DAÑOS PERSONALES,Ley Nº: 2718108/10/1999 LEY GENERAL DE TRANSPORTE Y TRANSITO TERRESTRE,23/09/1998,Promulgado Ley,Ley General de Transporte y Tránsito Terrestre.,FORSYTH MEJIA  HAROLD,CONGRESO DE LA REPUBLICA,Infraestructura y Transporte28/09/1998 En Comisión Infraestructura y Transporte03/12/1998 Dictamen Infraestructura y Transporte Favorable  Mayoria11/12/1998 Orden del Día21/07/1999 Aprobado23/07/1999 Autógrafa   Sobre Nº: 215-9826/08/1999 Observado26/08/1999 A Comisión Infraestructura y Transporte26/08/1999 En Comisión Infraestructura y Transporte30/09/1999 Orden del Día30/09/1999 Aprobado05/10/1999 Autógrafa   Sobre Nº: 21-9908/10/1999 Promulgado  Ley     Nº: 27181,Periodo de Gobierno 1995 - 2000.,Primera Legislatura Ordinaria de 1998,"


seguimiento
>

>


1995



 ver documentos de ley relacionados 



periodo:periodo de gobierno 1995 - 2000.
legislatura:primera legislatura ordinaria de 1998
número:04040 
fecha presentación:23/09/",1995-2000,2025-09-17T20:43:45.877661
